date;entity;sector;MDSCIsc;MDSCNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPCNsc;NRACNsc;RUSCIsc;RUSCNsc;AKMCNsc
735051;СИБМЕТИНВЕСТ;Металлургический;NaN;NaN;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Кузбассразрезуголь УК;Горнодобыча;14;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Синтерра;Телекоммуникации;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
735051;Энергогарант САК;Страхование;NaN;NaN;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;ВымпелКом;Телекоммуникации;12;NaN;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Ростелеком;Телекоммуникации;NaN;NaN;10;NaN;9;1;NaN;NaN;NaN;NaN;NaN
735051;СОГАЗ;Страхование;NaN;NaN;9;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;ЕвроХим МХК;Химпром, минудобрения;NaN;NaN;11;2;11;3;NaN;NaN;NaN;NaN;NaN
735051;Русс-Инвест ИК;Финанс.сервисы;14;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Теле2-Санкт-Петербург;Телекоммуникации;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1
735051;Алроса АК;Горнодобыча;12;NaN;12;NaN;12;NaN;NaN;NaN;NaN;NaN;NaN
735051;Каркаде;Ритейл;NaN;NaN;NaN;NaN;13;6;NaN;NaN;NaN;NaN;NaN
735051;ЛЕКСГАРАНТ;Страхование;NaN;NaN;13;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Южный Кузбасс;Горнодобыча;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2
735051;Система АФК;Финанс.сервисы;12;NaN;11;NaN;12;4;1;NaN;6;0;1
735051;Аэрофлот;Транспорт;NaN;NaN;NaN;NaN;10;2;NaN;NaN;NaN;NaN;NaN
735051;Сбербанк Лизинг;Финанс.сервисы;NaN;NaN;NaN;NaN;8;0;NaN;NaN;NaN;NaN;NaN
735051;Транснефть СК;Страхование;NaN;NaN;9;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;МегаФон;Телекоммуникации;9;NaN;9;0;10;2;NaN;NaN;NaN;NaN;NaN
735051;Юнити РЕ СПК;Страхование;NaN;NaN;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;ЛенСпецСМУ ССМО;Строительство;NaN;NaN;14;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
